,frog,bird,dog,car,step,murmullo
34,"[[91 0.5 -162]
 [99 0.5 -162]
 [132 0.5 -112]
 [79 0.5 -75]]","[[147 10.5 -91]
 [160 10.5 -84]]",[[233 0.5 -8]],[],[[46 0.5 -220]],[]
35,"[[127 0.5 -146]
 [123 0.5 -83]
 [80 0.5 -136]
 [90 0.5 -174]]","[[153 3.5 -173]
 [145 3.5 -122]]",[[22 0.5 -248]],[[238 1.0 -233]],[],[]
36,"[[82 0.5 -144]
 [83 0.5 -86]]","[[165 12.5 -127]
 [222 12.5 -52]]",[[241 0.5 -20]],[],[],[]
37,"[[173 0.5 -161]
 [131 0.5 -123]
 [119 0.5 -149]
 [92 0.5 -85]]",[[98 19.5 -82]],[[241 0.5 -21]],[],[],[[229 1.5 -21]]
38,"[[79 0.5 -104]
 [134 0.5 -94]
 [163 0.5 -96]]","[[91 2.5 -123]
 [50 2.5 -47]]",[],[],[],[]
39,"[[145 0.5 -109]
 [93 0.5 -117]]","[[80 10.5 -168]
 [144 10.5 -158]]",[],[],[],[]
40,"[[166 0.5 -153]
 [171 0.5 -113]
 [171 0.5 -80]
 [122 0.5 -86]]","[[137 15.5 -159]
 [93 15.5 -142]
 [221 15.5 -32]]",[],[[232 1.0 -9]],[],[]
41,"[[120 0.5 -95]
 [91 0.5 -137]
 [154 0.5 -148]
 [138 0.5 -117]]","[[151 15.5 -82]
 [167 15.5 -138]]",[],[],[],[]
42,"[[135 0.5 -78]
 [156 0.5 -171]]",[[86 8.5 -167]],[],[],[],[]
43,"[[134 0.5 -132]
 [161 0.5 -95]
 [156 0.5 -173]
 [58 0.5 -70]]","[[80 2.5 -102]
 [134 2.5 -95]]",[],[],[[4 0.5 -23]],[]
44,"[[171 0.5 -173]
 [143 0.5 -158]
 [188 0.5 -29]]","[[109 15.5 -171]
 [157 15.5 -156]
 [60 15.5 -215]]",[],[[8 1.0 -232]],[],[]
45,"[[112 0.5 -103]
 [109 0.5 -149]]",[[88 16.5 -142]],[],[],[],"[[223 1.5 -178]
 [12 1.5 -227]]"
46,"[[108 0.5 -111]
 [120 0.5 -122]
 [118 0.5 -127]]","[[85 18.5 -111]
 [15 18.5 -230]]",[],[],[],[[19 1.5 -19]]
47,"[[133 0.5 -173]
 [133 0.5 -157]
 [168 0.5 -107]
 [88 0.5 -160]]","[[113 16.5 -162]
 [145 16.5 -81]
 [146 16.5 -169]]",[],[],[],[]
48,"[[153 0.5 -141]
 [173 0.5 -158]
 [76 0.5 -89]]","[[117 0.5 -139]
 [158 0.5 -173]
 [168 0.5 -135]
 [61 0.5 -178]]",[[17 0.5 -226]],[],[],[[19 1.5 -4]]
49,"[[158 0.5 -160]
 [144 0.5 -129]]","[[128 13.5 -162]
 [117 13.5 -99]]",[],[],[],[]
50,"[[115 0.5 -105]
 [85 0.5 -169]]","[[145 4.5 -114]
 [123 4.5 -91]
 [187 4.5 -33]]",[[39 0.5 -59]],[],[],[]
51,"[[153 0.5 -142]
 [136 0.5 -112]
 [47 0.5 -186]]","[[134 18.5 -140]
 [156 18.5 -99]]","[[69 0.5 -193]
 [1 0.5 -241]]",[],[],[]
52,"[[150 0.5 -157]
 [105 0.5 -112]
 [96 0.5 -156]
 [99 0.5 -105]]","[[166 17.5 -86]
 [110 17.5 -156]
 [77 17.5 -80]
 [212 17.5 -53]]",[[248 0.5 -246]],[],[],"[[190 1.5 -223]
 [11 1.5 -234]]"
53,"[[96 0.5 -131]
 [121 0.5 -119]]","[[104 12.5 -138]
 [176 12.5 -73]]",[[9 0.5 -239]],[],[],[]
54,"[[113 0.5 -80]
 [81 0.5 -91]
 [95 0.5 -99]]","[[86 16.5 -150]
 [170 16.5 -115]]",[],[],[],[]
55,"[[112 0.5 -174]
 [170 0.5 -90]]","[[165 3.5 -153]
 [45 3.5 -219]]",[[232 0.5 -6]],[],[],[[232 1.5 -233]]
56,"[[89 0.5 -171]
 [152 0.5 -91]
 [89 0.5 -136]
 [129 0.5 -122]]","[[77 15.5 -154]
 [83 15.5 -131]
 [35 15.5 -223]]",[[242 0.5 -234]],[],[],[]
57,"[[132 0.5 -99]
 [131 0.5 -154]
 [121 0.5 -149]]","[[143 10.5 -88]
 [100 10.5 -169]
 [104 10.5 -117]]",[],[],[],[[188 1.5 -71]]
58,"[[157 0.5 -144]
 [150 0.5 -90]]","[[153 8.5 -162]
 [114 8.5 -138]
 [79 8.5 -85]
 [193 8.5 -190]]",[],[],[],[]
59,"[[112 0.5 -115]
 [82 0.5 -170]]",[[119 3.5 -151]],[],[],[],[]
60,"[[103 0.5 -120]
 [137 0.5 -102]]","[[102 5.5 -110]
 [158 5.5 -85]
 [55 5.5 -70]]",[],[],[],[]
61,"[[82 0.5 -103]
 [78 0.5 -148]]","[[103 16.5 -171]
 [177 16.5 -211]
 [11 16.5 -17]]",[],[],[],[]
62,"[[145 0.5 -97]
 [90 0.5 -117]
 [136 0.5 -149]]","[[122 14.5 -164]
 [141 14.5 -174]
 [218 14.5 -197]]",[],[],[],[[24 1.5 -242]]
63,"[[141 0.5 -114]
 [80 0.5 -129]]","[[112 17.5 -151]
 [170 17.5 -161]
 [217 17.5 -58]
 [229 17.5 -18]]",[[12 0.5 -229]],[],[],[]
64,"[[127 0.5 -83]
 [155 0.5 -140]]","[[101 1.5 -156]
 [31 1.5 -204]
 [240 1.5 -242]]",[],[],[],[]
65,"[[119 0.5 -161]
 [100 0.5 -134]
 [166 0.5 -101]
 [103 0.5 -169]]","[[135 9.5 -116]
 [117 9.5 -106]]",[[248 0.5 -9]],[],[],[]
66,"[[85 0.5 -120]
 [103 0.5 -86]]","[[161 16.5 -80]
 [163 16.5 -95]
 [46 16.5 -208]]",[],[],[],[[35 1.5 -191]]
67,"[[109 0.5 -81]
 [155 0.5 -164]
 [117 0.5 -137]]","[[155 12.5 -106]
 [82 12.5 -116]]",[],[],[],[]
68,"[[130 0.5 -148]
 [118 0.5 -148]]","[[136 11.5 -163]
 [78 11.5 -159]
 [71 11.5 -72]]",[],[],[],[]
69,"[[165 0.5 -120]
 [164 0.5 -158]
 [82 0.5 -130]]","[[83 11.5 -75]
 [100 11.5 -140]]",[],[],[[57 0.5 -48]],[]
70,"[[140 0.5 -81]
 [110 0.5 -161]
 [155 0.5 -96]]","[[166 4.5 -89]
 [71 4.5 -219]]",[],[],[],[]
71,"[[148 0.5 -146]
 [92 0.5 -147]]","[[128 14.5 -102]
 [113 14.5 -145]]",[[47 0.5 -31]],[],[[0 0.5 -10]],[]
72,"[[94 0.5 -103]
 [137 0.5 -156]
 [156 0.5 -109]
 [136 0.5 -103]]","[[156 0.5 -167]
 [176 0.5 -51]]",[],[],[],[]
73,"[[86 0.5 -173]
 [83 0.5 -136]
 [170 0.5 -171]
 [92 0.5 -105]
 [59 0.5 -203]]",[[112 13.5 -92]],[[9 0.5 -18]],[],[],[]
74,"[[102 0.5 -76]
 [170 0.5 -90]
 [183 0.5 -44]]",[[109 0.5 -113]],[[12 0.5 -235]],[],[],[]
75,"[[94 0.5 -147]
 [151 0.5 -143]
 [166 0.5 -129]]","[[135 0.5 -92]
 [96 0.5 -86]
 [155 0.5 -135]
 [38 0.5 -49]]",[[20 0.5 -248]],[],[],[]
76,"[[135 0.5 -152]
 [79 0.5 -88]]","[[93 14.5 -130]
 [164 14.5 -97]
 [85 14.5 -116]]",[],[],[],[]
77,"[[159 0.5 -161]
 [136 0.5 -132]
 [75 0.5 -112]
 [99 0.5 -123]]","[[84 16.5 -78]
 [158 16.5 -158]
 [89 16.5 -122]]",[],[],[],[]
78,"[[161 0.5 -167]
 [93 0.5 -119]]","[[136 17.5 -92]
 [201 17.5 -214]]",[[234 0.5 -247]],[],[[61 0.5 -45]],[]
79,"[[138 0.5 -89]
 [105 0.5 -112]
 [82 0.5 -151]
 [145 0.5 -165]
 [40 0.5 -32]]","[[161 12.5 -118]
 [104 12.5 -87]]",[],[],[[25 0.5 -179]],[]
80,"[[156 0.5 -91]
 [146 0.5 -113]]","[[121 7.5 -85]
 [216 7.5 -29]]",[[231 0.5 -244]],[],[],[]
81,"[[78 0.5 -80]
 [119 0.5 -149]]","[[166 14.5 -101]
 [155 14.5 -97]
 [99 14.5 -83]]",[],[],[],[[236 1.5 -20]]
82,"[[89 0.5 -151]
 [105 0.5 -101]]","[[131 4.5 -167]
 [93 4.5 -111]]",[[238 0.5 -14]],[],[],[]
83,"[[93 0.5 -101]
 [163 0.5 -108]]","[[105 17.5 -108]
 [106 17.5 -173]
 [209 17.5 -64]]",[],[],[],[]
84,"[[127 0.5 -171]
 [165 0.5 -167]]","[[136 2.5 -168]
 [150 2.5 -82]
 [114 2.5 -99]
 [214 2.5 -56]]",[],[[235 1.0 -6]],[],[]
85,"[[98 0.5 -135]
 [100 0.5 -119]
 [99 0.5 -104]]","[[137 1.5 -145]
 [91 1.5 -81]
 [151 1.5 -90]
 [180 1.5 -183]]",[],[],[],[]
86,"[[145 0.5 -145]
 [144 0.5 -100]
 [95 0.5 -83]]","[[101 6.5 -113]
 [168 6.5 -127]
 [41 6.5 -48]
 [20 6.5 -234]]",[[66 0.5 -37]],[],[],[]
87,"[[135 0.5 -83]
 [154 0.5 -101]
 [76 0.5 -111]]","[[81 4.5 -157]
 [140 4.5 -88]]",[[244 0.5 -13]],[],[],[]
88,"[[154 0.5 -92]
 [78 0.5 -172]]",[[148 0.5 -97]],[],[],[],[]
89,"[[120 0.5 -98]
 [77 0.5 -121]
 [79 0.5 -80]]",[[111 18.5 -107]],[],[],[],[]
90,"[[96 0.5 -109]
 [114 0.5 -148]]","[[144 4.5 -117]
 [28 4.5 -197]
 [21 4.5 -21]]",[],[],[],[]
91,"[[84 0.5 -79]
 [112 0.5 -87]]","[[83 7.5 -162]
 [95 7.5 -78]
 [5 7.5 -242]]",[],[],[],[]
92,"[[83 0.5 -115]
 [118 0.5 -113]
 [96 0.5 -128]]",[[135 8.5 -134]],[],[],[],[]
93,"[[157 0.5 -127]
 [106 0.5 -101]
 [163 0.5 -88]
 [151 0.5 -137]]","[[123 3.5 -146]
 [113 3.5 -132]
 [146 3.5 -91]]",[],[],[[48 0.5 -61]],[[39 1.5 -54]]
94,"[[107 0.5 -132]
 [135 0.5 -159]]","[[147 1.5 -78]
 [115 1.5 -102]
 [64 1.5 -61]]",[],[],[],[]
95,"[[89 0.5 -127]
 [173 0.5 -75]
 [59 0.5 -199]]",[[119 3.5 -173]],[[232 0.5 -244]],[[18 1.0 -15]],[],[]
96,"[[75 0.5 -113]
 [104 0.5 -100]
 [141 0.5 -102]]","[[113 13.5 -132]
 [151 13.5 -135]]",[],[],[],[]
97,"[[82 0.5 -162]
 [87 0.5 -172]
 [137 0.5 -146]]","[[166 4.5 -156]
 [86 4.5 -102]
 [148 4.5 -94]
 [204 4.5 -204]]",[[12 0.5 -16]],[[17 1.0 -249]],[[4 0.5 -1]],[]
98,"[[137 0.5 -132]
 [122 0.5 -145]
 [159 0.5 -159]]","[[138 14.5 -90]
 [248 14.5 -235]]",[],[],[],[]
99,"[[114 0.5 -119]
 [132 0.5 -81]]","[[75 7.5 -118]
 [44 7.5 -191]]",[],[],[[243 0.5 -11]],[]
100,"[[172 0.5 -165]
 [81 0.5 -127]
 [150 0.5 -99]]","[[117 13.5 -152]
 [36 13.5 -206]]",[[246 0.5 -237]],[],[],[]
101,"[[99 0.5 -87]
 [114 0.5 -139]
 [137 0.5 -169]]","[[141 12.5 -156]
 [133 12.5 -79]
 [45 12.5 -202]]",[],[],[],[]
102,"[[172 0.5 -129]
 [117 0.5 -98]
 [139 0.5 -169]]",[[146 14.5 -105]],[[248 0.5 -238]],[[22 1.0 -228]],[],[]
103,"[[81 0.5 -167]
 [110 0.5 -94]
 [131 0.5 -87]]","[[173 13.5 -116]
 [87 13.5 -98]
 [104 13.5 -79]
 [214 13.5 -60]]",[[4 0.5 -13]],[],[],[]
104,"[[149 0.5 -122]
 [158 0.5 -75]]","[[153 19.5 -159]
 [172 19.5 -109]]",[],[],[],[]
105,"[[141 0.5 -102]
 [160 0.5 -82]
 [134 0.5 -135]
 [164 0.5 -132]]","[[159 5.5 -82]
 [103 5.5 -146]
 [92 5.5 -132]]",[],[],[[27 0.5 -36]],[]
106,"[[107 0.5 -149]
 [91 0.5 -168]]","[[108 8.5 -104]
 [142 8.5 -137]
 [35 8.5 -197]]",[],[],[],[]
107,"[[149 0.5 -118]
 [94 0.5 -144]]","[[165 8.5 -162]
 [38 8.5 -188]
 [226 8.5 -236]]",[],[],[],[[227 1.5 -8]]
108,"[[87 0.5 -159]
 [107 0.5 -165]]","[[123 3.5 -101]
 [80 3.5 -89]]",[[21 0.5 -228]],[],[],[]
109,"[[83 0.5 -164]
 [118 0.5 -132]
 [42 0.5 -210]]","[[147 13.5 -153]
 [184 13.5 -26]]",[[229 0.5 -231]],[],[],[[232 1.5 -6]]
110,"[[149 0.5 -89]
 [101 0.5 -162]]","[[92 17.5 -106]
 [221 17.5 -210]
 [17 17.5 -247]]",[],[],[],[]
111,"[[149 0.5 -119]
 [163 0.5 -143]
 [93 0.5 -93]]","[[140 15.5 -122]
 [86 15.5 -99]
 [162 15.5 -100]
 [177 15.5 -28]]",[],[],[],[]
112,"[[163 0.5 -135]
 [75 0.5 -156]]","[[174 15.5 -118]
 [114 15.5 -89]
 [174 15.5 -133]]",[],[],[],[]
113,"[[128 0.5 -103]
 [128 0.5 -105]]","[[84 11.5 -147]
 [134 11.5 -127]]",[],[],[],[]
114,"[[123 0.5 -75]
 [118 0.5 -91]
 [161 0.5 -128]]","[[161 5.5 -105]
 [133 5.5 -96]
 [123 5.5 -113]
 [49 5.5 -204]]",[],[],[[230 0.5 -14]],[]
115,"[[104 0.5 -122]
 [117 0.5 -135]]","[[122 2.5 -105]
 [64 2.5 -46]
 [239 2.5 -22]]",[[18 0.5 -235]],[],[[16 0.5 -239]],[]
116,"[[169 0.5 -123]
 [164 0.5 -93]
 [156 0.5 -83]]","[[162 1.5 -121]
 [144 1.5 -114]
 [176 1.5 -215]]",[],[],[],[]
117,"[[101 0.5 -99]
 [97 0.5 -115]]",[[150 12.5 -92]],[],[],[[52 0.5 -224]],[]
118,"[[87 0.5 -174]
 [136 0.5 -133]
 [78 0.5 -108]]",[[96 0.5 -115]],[],[[243 1.0 -7]],[],[]
119,"[[153 0.5 -136]
 [158 0.5 -75]]","[[127 7.5 -118]
 [156 7.5 -140]]",[[7 0.5 -15]],[],[],[]
120,"[[142 0.5 -98]
 [167 0.5 -135]
 [79 0.5 -173]]","[[139 0.5 -167]
 [91 0.5 -114]
 [37 0.5 -69]]",[],[],[[51 0.5 -214]],[]
121,"[[159 0.5 -169]
 [100 0.5 -109]
 [78 0.5 -131]
 [202 0.5 -187]]","[[90 7.5 -109]
 [174 7.5 -131]
 [107 7.5 -136]]",[],[],[],[]
122,"[[135 0.5 -113]
 [86 0.5 -158]
 [119 0.5 -137]]","[[159 12.5 -98]
 [150 12.5 -108]]",[[3 0.5 -13]],[],[],[]
123,"[[133 0.5 -121]
 [96 0.5 -136]
 [83 0.5 -174]]","[[120 18.5 -123]
 [90 18.5 -129]
 [40 18.5 -73]]",[],[],[],[]
124,"[[98 0.5 -115]
 [119 0.5 -103]
 [112 0.5 -151]]","[[84 6.5 -168]
 [150 6.5 -75]
 [185 6.5 -34]]",[[228 0.5 -243]],[],[],[]
125,"[[80 0.5 -146]
 [137 0.5 -100]]","[[171 17.5 -107]
 [30 17.5 -223]]",[],[],[],[]
126,"[[145 0.5 -174]
 [97 0.5 -144]]",[[85 13.5 -169]],[],[],[],[]
127,"[[144 0.5 -91]
 [80 0.5 -107]
 [107 0.5 -120]]","[[151 10.5 -136]
 [191 10.5 -69]]",[[5 0.5 -236]],[],[],[]
128,"[[151 0.5 -172]
 [87 0.5 -117]
 [166 0.5 -105]]","[[97 12.5 -160]
 [114 12.5 -102]
 [205 12.5 -180]]",[],[],[],[[46 1.5 -74]]
129,"[[128 0.5 -123]
 [84 0.5 -135]]","[[136 8.5 -96]
 [114 8.5 -122]
 [115 8.5 -131]]",[],[],[],[[177 1.5 -181]]
130,"[[135 0.5 -117]
 [89 0.5 -85]]",[[150 17.5 -106]],[],[],[],[[0 1.5 -227]]
131,"[[78 0.5 -158]
 [135 0.5 -90]]","[[119 14.5 -141]
 [89 14.5 -129]
 [111 14.5 -81]
 [180 14.5 -46]]",[],[],[],[]
132,"[[78 0.5 -147]
 [127 0.5 -157]]","[[79 9.5 -111]
 [140 9.5 -111]
 [210 9.5 -212]]",[],[],[],[]
133,"[[148 0.5 -151]
 [123 0.5 -148]]","[[92 10.5 -104]
 [150 10.5 -137]
 [135 10.5 -77]
 [211 10.5 -34]]",[],[],[],[]
134,"[[131 0.5 -135]
 [167 0.5 -105]
 [84 0.5 -161]]",[[80 4.5 -165]],[],[],[],[]
135,"[[155 0.5 -153]
 [109 0.5 -111]
 [77 0.5 -80]]",[[90 4.5 -142]],[],[],[],[]
136,"[[105 0.5 -111]
 [144 0.5 -137]]",[[91 19.5 -96]],[],[],[],[]
137,"[[123 0.5 -132]
 [118 0.5 -120]
 [133 0.5 -174]]","[[127 8.5 -75]
 [167 8.5 -133]
 [41 8.5 -57]]",[[18 0.5 -7]],[],[[4 0.5 -16]],[]
138,"[[108 0.5 -106]
 [154 0.5 -97]
 [80 0.5 -108]
 [171 0.5 -109]]","[[164 15.5 -115]
 [97 15.5 -100]
 [185 15.5 -180]]",[[226 0.5 -5]],[],[],[]
139,"[[90 0.5 -131]
 [91 0.5 -77]
 [136 0.5 -141]
 [150 0.5 -81]]","[[165 14.5 -155]
 [123 14.5 -80]
 [28 14.5 -74]]",[],[[16 1.0 -243]],[],[]
140,"[[173 0.5 -158]
 [174 0.5 -129]]","[[120 12.5 -97]
 [59 12.5 -32]]",[],[],[],[]
141,"[[130 0.5 -151]
 [157 0.5 -160]
 [165 0.5 -122]]","[[121 12.5 -162]
 [71 12.5 -60]
 [22 12.5 -232]]",[[244 0.5 -7]],[],[[243 0.5 -2]],[[211 1.5 -26]]
142,"[[132 0.5 -121]
 [86 0.5 -152]
 [160 0.5 -88]]","[[174 11.5 -120]
 [83 11.5 -103]]",[],[[228 1.0 -3]],[],"[[217 1.5 -183]
 [9 1.5 -227]]"
143,"[[141 0.5 -94]
 [77 0.5 -147]]","[[94 3.5 -122]
 [206 3.5 -57]]",[[37 0.5 -27]],[],[],[]
144,"[[81 0.5 -118]
 [78 0.5 -102]]","[[162 0.5 -84]
 [169 0.5 -142]
 [219 0.5 -217]
 [16 0.5 -6]]",[],[],[],[]
145,"[[146 0.5 -78]
 [158 0.5 -80]
 [129 0.5 -152]
 [174 0.5 -86]]","[[122 12.5 -154]
 [163 12.5 -130]]",[[62 0.5 -69]],[],[],[]
146,"[[106 0.5 -134]
 [113 0.5 -84]]","[[103 0.5 -101]
 [89 0.5 -165]
 [49 0.5 -201]
 [7 0.5 -241]]",[],[],[],[]
147,"[[143 0.5 -112]
 [156 0.5 -133]
 [150 0.5 -135]
 [155 0.5 -157]]",[[132 12.5 -105]],[[234 0.5 -6]],[],[],[]
148,"[[135 0.5 -105]
 [101 0.5 -166]]","[[110 2.5 -76]
 [44 2.5 -25]
 [24 2.5 -245]]",[[72 0.5 -67]],[],[[233 0.5 -19]],[]
149,"[[101 0.5 -120]
 [158 0.5 -123]
 [144 0.5 -107]
 [161 0.5 -142]]",[[133 7.5 -91]],[[9 0.5 -239]],[],[],[]
150,"[[165 0.5 -85]
 [120 0.5 -127]]","[[128 14.5 -107]
 [166 14.5 -105]
 [160 14.5 -131]
 [59 14.5 -61]]",[],[],[],[]
151,"[[135 0.5 -82]
 [146 0.5 -100]]","[[154 8.5 -111]
 [133 8.5 -95]
 [29 8.5 -63]]",[],[],[],[[197 1.5 -219]]
152,"[[80 0.5 -150]
 [140 0.5 -123]
 [96 0.5 -87]]","[[127 18.5 -143]
 [184 18.5 -199]]",[],[],[],[]
153,"[[172 0.5 -75]
 [141 0.5 -173]]","[[167 7.5 -89]
 [156 7.5 -120]
 [62 7.5 -202]]",[[11 0.5 -240]],[[234 1.0 -238]],[[226 0.5 -236]],[]
154,"[[89 0.5 -89]
 [98 0.5 -156]
 [128 0.5 -78]]","[[123 10.5 -87]
 [163 10.5 -93]
 [147 10.5 -121]
 [211 10.5 -200]]",[[7 0.5 -6]],[],[],[]
155,"[[115 0.5 -144]
 [148 0.5 -137]
 [102 0.5 -154]
 [96 0.5 -108]]",[[146 11.5 -133]],[],[],[],[[182 1.5 -216]]
156,"[[85 0.5 -86]
 [135 0.5 -160]
 [140 0.5 -84]
 [114 0.5 -130]
 [41 0.5 -180]]","[[122 17.5 -163]
 [235 17.5 -249]]",[[247 0.5 -16]],[],[[227 0.5 -246]],[[44 1.5 -222]]
157,"[[149 0.5 -93]
 [171 0.5 -137]
 [132 0.5 -101]]","[[135 6.5 -100]
 [109 6.5 -88]
 [149 6.5 -132]
 [44 6.5 -220]
 [241 6.5 -226]]",[],[],[],[]
158,"[[81 0.5 -141]
 [83 0.5 -100]]","[[131 3.5 -163]
 [160 3.5 -76]
 [183 3.5 -32]]",[[15 0.5 -247]],[],[],[[209 1.5 -207]]
159,"[[81 0.5 -85]
 [158 0.5 -135]
 [116 0.5 -135]
 [129 0.5 -116]]","[[104 10.5 -106]
 [81 10.5 -117]]",[],[],[[246 0.5 -226]],[]
160,"[[96 0.5 -103]
 [110 0.5 -132]
 [127 0.5 -83]]","[[144 15.5 -123]
 [92 15.5 -134]
 [155 15.5 -78]]",[],[[7 1.0 -231]],[[246 0.5 -23]],[]
161,"[[114 0.5 -81]
 [151 0.5 -130]
 [121 0.5 -133]]","[[82 12.5 -149]
 [79 12.5 -122]
 [209 12.5 -74]]",[],[],[],[]
162,"[[142 0.5 -97]
 [134 0.5 -139]]","[[161 15.5 -108]
 [88 15.5 -105]
 [151 15.5 -97]
 [57 15.5 -176]]",[],[],[],[]
163,"[[171 0.5 -98]
 [86 0.5 -156]]","[[82 18.5 -150]
 [101 18.5 -130]
 [200 18.5 -200]]",[[14 0.5 -236]],[],[],[]
164,"[[137 0.5 -99]
 [137 0.5 -170]
 [163 0.5 -139]]","[[82 10.5 -87]
 [22 10.5 -248]]",[],[],[],[]
